,UserName,content,score,sentiment
0,DustJar Original-channel,"Exactly what I was expecting when I saw the ads, the buttons are personally just a bit to crouded in my opinion, an arrow that shows and puts away the little icons would be nice but eh, no complaining. Still a wonderful game despite my pickiness. I like penguins, and this was just the right thing for me! It's probably not everyone's cup of tea, but the game play is overall smooth and doesn't seem to interrupt my other or connection flow. Giving it five stars, cus I'm a sucker for penguin waddle",5,1
1,Kim Kenstler,This game is beyond adorable. It's actually the only mobile game that has consistently kept my interest. The art style is wonderful and watching the penguins just go about their day makes me smile. I always buy the seasonal packs as a way of not only getting more cute items for my island but to do what I can to support this game.,5,1
2,Orc Lord,As long as you don't mind and phone can handle running video ads. It's fun and free. Nothing crazy but cute and time killing. Edit #1 : Game is running amazing still after years. Fun ad reasonable prices with a good stream of ways to collect gems. Apple is being annoying with update approvals but the devs are great at letting players know whats going on. Thank you for that.,5,1
3,Lisandra Vignon,This so relaxing and comfortable when y I u are stressed or bored this is fun may take some time but still I love it.atleast it doesn't have as much ads in fact once you watch all gifts = ads they don't pop up anymore!,5,1
4,PopCoKid 749,"I just started this game, and it's really cute!! There aren't any glitches I've run into yet. I have no complaints. The penguins are adorable and I love collecting all the hearts, knowing that they're happy! Lots of penguins, very cute",5,1
5,Luna Dust,"It's very good for what it is: A zero effort, zero stress, clicking game with relaxing music and repetitive actions. I play when I can't sleep but don't want to do anything that'll keep me up.",5,1
6,Giant Evil Baby,"Probably one of the most relaxing mobile games of all time. Just seeing your penguins walking around while building upon your little isle is soothing, especially compared to other mobile games today.",5,1
7,Adrian Vega,Great game. It lost my data but system got it back. I love the animations and what the game is about. I definitely recommend it.,5,1
8,Ashley Rojas,"With every update, they surprise me with something new! Love it. & thank you. So glad to be supporting this game. I love buying the next & new events! 😍",5,1
9,Gabriel Curl,"Calming, good music and good interactive game play would recommend ads are optional but do help annoying how it constantly shows that you can buy stuff all in all great game",5,1
10,Mr Chems,Cute game and real fun and good to kill time I'm glad it's just like the ads keep up the good work,5,1
11,Christie Peaslee,Such an adorable and relaxing game. The soundtrack only adds to the whole experience.,5,1
12,Jake,"I love this game. It's so cute and I am incredibly addicted and will continue to play forever. The only reason I give 4 stars instead of five is because I regrettably purchased the $50 golden submarine with the promise of ""a massive amount of gold every 5 minutes"". The use of the word ""massive"" was laughably misused. The amount of gold after each 5 minutes is less than what you would get for photo missions and over 2000% less than the treasure ship summoning. $50 dollars.",4,1
13,Rose,"it's cute. my biggest criticism of the game is picking up decorations around the habitats. the wait time is long, and it is what it is. but the items only give you a few slots for decorations. some decorations take up a lot of slots to place, so you really struggle placing what you want without going beyond however many slots you have available to decorate with. the capacity wouldn't be so bad if it wasn't such a struggle to expand it. 3.5/5",4,1
14,Yazi,It's a really fun and relaxing game to play. Overall 9/10. I think the only thing that needs to be improved is how fast you earn materials. I recommend that you add a potential online feature where you can make friends and visit their islands and such. It would make it interactive and fun seeing how other players create and decorate their island. Then you could also add a trading or gifting feature with friends that could help with getting materials.,4,1
15,Celena Barton,"So FUN! I don't generally play mobile games as a rule, too many other things to do. However, my daughter found this and felt I would enjoy it because of penguins and the calming music playing in the background. Both my daughters and I play it when we have some downtime or waiting-in-the-car type stuff. Also, the creators keep it fresh and alive, seasonal fun stuff to collect, mini-games to get more goodies, and updates to add more interactive things (like adding neighbors, etc). Love it!",5,1
16,jane smithers,"I love the game a lot. It's fun and relaxing. However, I just don't understand and see the point of crafting in the workshop when you can't even place all your items except for trees because of the capacity limit. It's just a bummer. 3.5/5",3,1
17,Debbie D,"I like the game! great artstyle, but there is alot of adds.But still agreat game!",4,1
18,Nikki Morris,"It's nice but crashes everytime I watch an ad, it won't go back to the board",3,1
19,Forggoton,"Hello, my game keeps crashing and you've told me to clear cache which I've done before, I tried resetting my phone twice and it still crashes apon loading",1,0
20,Gilly Karma,"Runs great. Very relaxing. No massive ad attack in the beginning... Loving that. In the beginning it does NOT hit you with ads at all and asks for reviews...keep that in mind, you might want wait for your review after the ads hit. Still super cute, you control the ads. Going to continue this game for a while...need the calm.",5,1
21,Kendal,"I used to love this game, but now it's so slow and laggy, that I can't stand to play it anymore. I turned the graphics to the lowest setting and even got rid of all my decorations to try and help it, but it just pauses and stutters constantly. So annoying Update: I appreciate the quick response from the devs!",4,1
22,Unstable Penguin,"I love this game. But ever since switching my phone(it broke). I can't get my old data back. I'm still trying but am really disheartened, especially because I spent money on the game.",3,1
23,Kaden Swann,This game is very fun. Such a relaxing game. Nothing crazy or complex about it. As long as you are ok watching ads I would highly recommend.,5,1
24,Brandon Crosby,"Penguin Isle is a very average idle grinder. Nothing about it stands out as far as gameplay goes. The low rating is for ad-related glitches. There are several features locked behind ads (which is fine in my opinion) but the ads cause the game to crash often (around half the time, not hyperbole). The boring nature of the game and the common crashes are enough to warrant such a low rating. I recommend you try a different game.",2,0
25,Tyler Scott,Super fun and love the new updates. Extremely relaxing game that you can play actively or idly,5,1
26,tva il,111621 REALLY liked this game but I cant take it anymore.Constant aggravation from lagging and crashing and features (zoom for instance) just dont work not rec'g credits for ads watched etc.I must have hit a level limit bc everything suddenly takes forever to earn and without requisite increase in money/hearts its not worth mind numbing boredom of waiting to be able to make next moves.Devs get credit for quick replys 3 stars vs 1! 102821 ISSUE RESOLVED! *102521 Game has problems again.,3,1
27,Alex Buchanan,Hey its a fun little game but I can't watch any ads? I've been shown no ads or been able to get some extra rewards by watching them? Strange thing to complain about but the extra rewards would help lol.,3,1
28,Parmar21,Love this game used 2 play it a lot till I got a new phone. The only main problem is quickly you earn materials in the later levels of the game. Overall great game and the baby penguins SO FRIGGIN CUTE!!!,5,1
29,Maria,I love this game but I wish there was a way to get the limited penquins without paying. Like a event that happens like once every few months or something to try to get them? Please consider,4,1
30,Darling Lulu,"I love playing this game! I dont care that I have to watch ads, the graphic is so cute and wonderful I always feel so happy when I get new places!",5,1
31,MyMoochi0514,"The most peaceful game ever thanks....I love my penguins. I am looking forward to your new updates. I'm very excited about your creativity AND what's to come. Considering everything that is happening in the world today, this game gets me out of my head...I LOVE IT!!",5,1
32,AbstracTAssassin,"I love this game but it would be cool if there was some kind of weather and time system, it would make the game 100x more relaxing. Besides that this game is 10/10.",5,1
33,Michelle R.,"The game doesn't run smoothly. Constantly freezes. Jump game doesn't work because it freezes all the time. You watch ads and at the end of the ad, you don't get the promised reward. Game crashes too often also.",1,0
34,Julien B-P,This is a very relaxing and interesting game. I've had it for a couple of days and one thing I noticed is that it crashes about half of the time after I click on something. Is there any way to fix this?,4,1
35,Alejandra Arias,So pretty and I adore the penguins.... you get ads if you want and I love how the soothing the game is overall. Would Recomend!!!❤,5,1
36,Ahmed Qaddoura,It's good but not like other idle you don't get money from disconnected time and you can't get anything unless the game is opened idk if it's a bug or not but for me I only get money when I'm only in game,3,1
37,something something,This game is so relaxing. I love it! If your looking for a game to kill time this is it!,5,1
38,gerdoguy on YouTube,I like this game. It's chill. No forced ads. Easy to understand. I'd recommend.,5,1
39,N N,"Low key fun, just relax and enjoy. And don't play like there is a major goal in mind. But if you are OCD like me there are fun things too",5,1
40,K. Ryan,"Adorable game! Im so addicted to these adorable goofy penguins. The game runs smoothly, and is addicting in a good way! 😄",5,1
41,zeph51,"It is such a cute game to see penguins evolve, and I'm hooked to it. Would recomend this game to anyone having a bad day.",5,1
42,Alexandra Saturniidae,too many ads. a ridiculous amount of ads. I just deleted the game. it's not relaxing at all.,1,0
43,Matthew Griste,Honestly hate mobile games because of the ads but they did it right with this one and I love how calming it is,5,1
44,Kamarius Pannell,This is an excellent game you can relax but also not be stressed money.,5,1
45,richard mason,"I have really enjoyed the game. I do hope that they correct the issue as you continue to obtain new areas to decorate yet the decoration limit doesn't increase as the land mass does. This doesn't make sense and reviewing the other games I play know they are capable of doing this, which is why I have given this a 4 star and not 5",4,1
46,Willow Birman,"Since the most recent update, the hourglass that gives you the money from disconnected time (and double for watching an ad) no longer pops up every time. It used to show every time I'd been out of game for more than 60 seconds (I think) but not it's only showing after at least 30 minutes. I haven't found any mention of this in changes. I can live with that being nerfed, but at least tell us. I was using it to farm gems for the boost tickets, and now it takes longer.",3,1
47,Paige Vinson,Any time you make a penguin it auto switches to camera mode which automatically flips the screen to orientation if you happen to be playing with your phone cocked to the side. Super annoying and no way I could see to turn it off. I don't want to take a pic every time I make something sorry lmao.,3,1
48,James Glenn,"Those of you who are interested in this game, but don't want to make any in-app purchases, DO understand the following warnings: *You will have to watch more ads than what cable television makes you watch. *This game will be a life commitment. *You may actually die of old age before ever getting close to finishing your island. *You may need to include this game in your will, so that anyone who inherits it, may have a chance at finishing what you have started. F2P players, STAY AWAY!",1,0
49,Chris Swickard,"For anyone interested in this game, understand that progress is locked behind either payment or advertisement viewing, which you will be watching dozens if not hundreds of ads per hour. It's a no go for me, but if you love ads and penguins, might work for you? Otherwise a fairly active idle game, it's okay from a gameplay perspective.",1,0
50,Katrina Chamberlain,"Edit: Now I love it and understand the timing for events. Pleasant and adorable mostly idle game. I have to downgrade my rating because there was no warning about what time the holiday event would end. As a new player I was hurrying to get through the event quests, because I could see the date it was ending. I had many unspent gingerbread men because I didn't realize what time it would reset. A warning would have been really useful.",5,1
51,Debra Terry,"REALLY FUN. I don't know why people don't like it. It's perfect but maybe you could add some more icebergs and like you can buy land. It's really easy! You have to earn coins by working and you buy more cool stuff like, hot tubs. You can pick your music to the game and craft trees and furniture to decorate. I think you should try it. It's a lovely game!",5,1
52,Lily Marleen,"Really cute, but too many (or rather too long of) ads - most seem to be the 30 second long ads. Hardly any nice short ones. The game is pretty simple to follow and I like it. Unfortunately, since I've had the app for quite a awhile, there are no more habitat expansions for me to work towards! Please add some new habitats so I can keep playing!",4,1
53,Jessica Wilson,"I love this game so much, especially because my favorite animal is the penguin and has been since I was young. The graphics are really cute and I love all the penguins in the little outfits! The areas are very creative and I love seeing the penguins interact with them! Edit: changed my review since I figured out how to remove trees and stuff to make more room for furniture!",5,1
54,Jess,"One of the few games I've kept for many months. Excellent graphics, very cute, and good balance of gameplay. Keeps me coming back nearly every day but doesn't require it per se. Some ads, but all are optional to get bonuses.",5,1
55,Bridgette H,"i like it a lot, i have beef with the ""word(s) cash"" ad though, the x in the top corner to exit the ad never comes up! i have to force stop the game. doesnt happen w any other ads though. game is adorable and relaxing, penguins are very cool as are the island expansion options❤",5,1
56,Lurkily Esh,"Not bad, but just FYI, I will never pay a subscription fee to remove ads, I'll forgo ad rewards first. Second, stop begging me to take a picture every time I make a penguin. I'm not sharing pictures of a cell phone game with my friends. Stop trying to encourage me to. It's sad.",2,0
57,Ben Edelman,"Good idle game, like it so far, but was recently cheated put of chests and gems as mini games rewards, plus a few other bugs, other than the fact that in order to get absolutely anywhere in the game you need to watch a million ads, pretty good game.",4,1
58,Pink Rose,Fun game but lately has been crashing a lot. Cant even play the game. Please fix. Update: uninstalled and reinstalled fixed the problem. Great game! Wish we had more room available or if able to sell things would be great too.,5,1
59,CocoPlaysGames,"super fun! really relaxing and will have you playing for hours without even realizing it! The graphics are amazing, and all the animals are adorable! I just wish it was slightly easier to get new areas for you penguins after is costs above C",5,1
60,HearTheSage,Really relaxing and fun game. Ads give you rewards and moves the game forward and its very worth it. I love just coming back to the game and even persuaded my boyfriend to get it and now all he talks about are penguins.,5,1
61,Tori Brower,"honestly it keeps turning the app off, i have to constantly close and reopen the app to HOPEFULLY even get more than a minute to play before it shuts itself off again. I've spent a decent amount of money on this game, i absolutely love this game. but i'm leaving the 2.star review because I can't seem to access it 🤷🏼‍♀️🤦🏼‍♀️",2,0
62,itsakat3120,"Love it. Only complaint is that the game only rewards you for upgrading the fishing spot. And it take BIG bites from your money. So either lower the cost of upgrading the fishing spot, or give rewards for other spots. Other than that, great game. Cute",5,1
