cid,text,time,author,channel,votes,photo,heart
UgyqsQ2KI2ypwDpEqZB4AaABAg,But fear not the covid pill is available soon,2 dagen geleden,squelch079,UCeKdE9EGlMHD4bFhjnF1rYQ,0,https://yt3.ggpht.com/ytc/AKedOLQZoz3jv7nRcNTUywSrfrWZI8poogRrhrvJmldr8g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_B7FNs7vnVBxDvwl4AaABAg,Brussels Broadcasting Company (BBC) spin ?,3 dagen geleden,Paul,UCzuZo40oapWfCtp87fIqUyg,0,https://yt3.ggpht.com/ytc/AKedOLQQV1bsTsexF5lplZGJhl7TvIp-BmnNjPddDw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxe4rqIAZjXOm7CfEt4AaABAg,Stupid Omicron first case in USA before south africa...,3 dagen geleden,Hi Handsome,UCeIf5op5LqxHqPXJ3PY9dJQ,1,https://yt3.ggpht.com/ytc/AKedOLRnE6VIU3r04NQxR9QgO5pOfqU0xFg4lk-78g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSLQWS-Z7Sz-CLeqN4AaABAg,Anyone else cringe at the thumbnail pic? It’s like you have to be scared or something,4 dagen geleden,Team Banchamek,UCLRted-9qIyAJDob6b1m35A,0,https://yt3.ggpht.com/ytc/AKedOLQWtHLNLkS70lOksBwB8jCkIw8gPzflzbuF3eq8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaEtuCi1L8k9kL2nR4AaABAg,Absolute pile of scaremongering bulsh#t created to collapse society,4 dagen geleden,Ian F,UC-9bQ2DJB-8wt342yzBCAqw,0,https://yt3.ggpht.com/ytc/AKedOLToy7NYFHyRwzBB0C-8KMoW2hHwgYppbI5EqNZkEvfj0cL9fZLhfkssIEhOTQC-=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjByrdE6Lt31xAPHJ4AaABAg,"Omicron is reportedly mild. If true, let it spread & then people can develop NATURAL immunity; no better immunity than that.",4 dagen geleden,Señora de Mendoza,UCKI2gtSOjFdiriloMlDbHAQ,0,https://yt3.ggpht.com/ytc/AKedOLTNdU1BYOUsGSCXGYdsKm6JbX-2IFhRy90y6t_b=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJ2ul4pGU9CP2FA3B4AaABAg,So what you're saying is it's really scary but we don't know why yet.,6 dagen geleden,Joseph Horton,UChQzQk1nXCcDhbMqMbhZE0Q,0,https://yt3.ggpht.com/ytc/AKedOLQndivfw_Rv9c_JRmkeeSKbC8ATTFL5SGxr3AQC=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx44SGZQ0qSDXM67p94AaABAg,"https://www.youtube.com/playlist?list=PLpioYFxyX6KT5JrMGimUwEybl6TdNp_Te

Tt",6 dagen geleden,Irfan Ashraf,UCB5xan3W0FaAlVtlSBRIYxw,0,https://yt3.ggpht.com/k_ZYgoSWtBtOKDfd2T25gLQh7yS9sxwuP-YC-MZc33wT160pVQf4cCui3sQPpZwvJt4yB3tl9Q8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7BxTcI5oW3s26eYR4AaABAg,"Never taking a vaccine never wearing a mask, never complying! 2 years of non compliance and I’m alive what a surprise 🙄",6 dagen geleden,UncontaminatedBloodGamer,UC3OKt_TIHcNHhprM-Gm0H3Q,0,https://yt3.ggpht.com/ytc/AKedOLSPY50UiD2hho0pYaRluiu4tRgksxq8nhxyh0zzrfhhDn5GNW-5IwmZCPrMkiTQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjRmguBsM2Bwo0WNZ4AaABAg,FORCED MEDICAL PROCEDURES HAVE NO PLACE IN A FREE SOCIETY DEMOCRATIC COUNTRIES !!!,6 dagen geleden,Miroslaw Swigon,UCMt5BwUPlaXkcQBoBSXnNpQ,1,https://yt3.ggpht.com/ytc/AKedOLQ0ja5oPqtBr41TkNCvIHHewDxmIiJu_0LfyA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzfzz0UQAgM4dCaFEd4AaABAg,"███████╗██╗░░░██╗░█████╗░██╗░░██╗██╗███╗░░██╗░██████╗░
██╔════╝██║░░░██║██╔══██╗██║░██╔╝██║████╗░██║██╔════╝░
█████╗░░██║░░░██║██║░░╚═╝█████═╝░██║██╔██╗██║██║░░██╗░
██╔══╝░░██║░░░██║██║░░██╗██╔═██╗░██║██║╚████║██║░░╚██╗
██║░░░░░╚██████╔╝╚█████╔╝██║░╚██╗██║██║░╚███║╚██████╔╝
╚═╝░░░░░░╚═════╝░░╚════╝░╚═╝░░╚═╝╚═╝╚═╝░░╚══╝░╚═════╝░

██╗░░░░░██╗███████╗░██████╗██╗
██║░░░░░██║██╔════╝██╔════╝██║
██║░░░░░██║█████╗░░╚█████╗░██║
██║░░░░░██║██╔══╝░░░╚═══██╗╚═╝
███████╗██║███████╗██████╔╝██╗
╚══════╝╚═╝╚══════╝╚═════╝░╚═╝",7 dagen geleden,National Horror Stories,UCz4pG46yW-YdVkLR679hEjQ,0,https://yt3.ggpht.com/ytc/AKedOLTHmuEtUxjPtyf9FLXuRlLIsiEA4Nrc-qBCp_us=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaoDAz_w5XBIwWKxx4AaABAg,👎,7 dagen geleden,Paul Wood,UCDFZajn3EY1ZiXmYMFLAhKA,0,https://yt3.ggpht.com/ytc/AKedOLTLmHIiSoa2FuLhYW99QohDLFHPc3i1VRx8ZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyF8_sA3RxSGlYUr014AaABAg,"The only variant intelligent people are worried about is called...
FRANKENVAX!!!
Produced by Pfizer, Moderna, J&J, AstraZeneca and the like!!",8 dagen geleden,I Smith,UCS91ZY-2zD7XFZM_I10Y0WQ,0,https://yt3.ggpht.com/ytc/AKedOLRfzMMD0CfRtI2qkySQD8HXvj53Y3YPiSx582vTF4C0E7Ff74W86TsFy4zv33ee=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwe89Lpgw8DvhXvtTt4AaABAg,"Disliked!!!!!!!!!!!

More BBC liemongering and propaganda.",8 dagen geleden,I Smith,UCS91ZY-2zD7XFZM_I10Y0WQ,0,https://yt3.ggpht.com/ytc/AKedOLRfzMMD0CfRtI2qkySQD8HXvj53Y3YPiSx582vTF4C0E7Ff74W86TsFy4zv33ee=s176-c-k-c0x00ffffff-no-rj,0.0
