cid,text,time,author,channel,votes,photo,heart
UgxN5zW2Ho4W57-3_cV4AaABAg,OwO,2 dagen geleden,GalaxyGlaceonAMVs,UCoc7yJYx3AcYU5x7J_kf2Xw,0,https://yt3.ggpht.com/UGzH2K4CgC7lsaOhlQOtsMyHIfMurqMg_qcqoYKX5u3ry0TaBzp-TS55BfuShfqRpBWLCYScOQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0GRZcH5IEWCjfoYZ4AaABAg,"Mihoyo making albedo be a central ingredient af one of the most lore heavy and emotional scenes, only to make it last two weeks.",2 dagen geleden,Archer macintyre,UCaQYyqXgvZk3YS9GJhT6bOg,0,https://yt3.ggpht.com/ytc/AKedOLRUQYOaTXGF9WUw5MWbvrfmKEvGDAmc1JnBXoJoFA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzn2ccN9tpcRlXH6Fl4AaABAg,oh my god albedo here looks so,2 dagen geleden,Teaii,UCpBaE93fjw6wDs3jPHFQeJA,0,https://yt3.ggpht.com/-6YmbOmhmupkYlQ8IdrPjGlTsobWnbLPs6bMR85_8XsH1j4DFgS1gjmdPhWsa_0Cdpx2eG_KdQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLnY4rbdWSLWBPc_V4AaABAg,Thx for giving me albedo,2 dagen geleden,ɪ ♡︎ ᴍʏsᴇʟғ,UCm1MYCHllUlurVIc36NN_aw,0,https://yt3.ggpht.com/GvOPhtVGCUABItlE8gaJxx8j7_n7bhb2FQ4kTHg2HlZ3mK-Lvnu_rLda8fx51grfOBMNhy-ii24=s176-c-k-c0x00ffffff-no-rj,0.0
UgwH0A1zjvvV98we7kF4AaABAg,shuddup 🙄 wouldya? 😡,3 dagen geleden,kawaii nightcore,UCsMjv9IvSHT11wzkTp2XYPA,0,https://yt3.ggpht.com/wT6LZM9ujsXrlhNgjpRXICkVwI2pcMOXUzfcBc-SlopAng-a58lBTJpUbZTKGbs1R8uSPX4NPQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGMxNDjsAKUobk_vh4AaABAg,The game is very interesting. I really liked Scaramouche. It's a pity you can't play for him,4 dagen geleden,Антон Черников,UC31bd7InvdtpaamxZbeGbDw,1,https://yt3.ggpht.com/ytc/AKedOLQyPBhTzIeJsle9GK8SI-SLCjtTByvNH5hzfuy_5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyCgOYe7WUKXpNYVd4AaABAg,"‼️(Spoiler warning for the Albedo quest.)‼️






(read in the tune of “Three Looks” by Jenna Marbles) We got 3 ALBEDOS! AND THAT’S IT!
We got the one mom liked better, a shapeshifting plant, and a Depressed™!",5 dagen geleden (bewerkt),Le Fandom Trash,UCHc9kWv4Qqf5ITeYwK0oWVA,0,https://yt3.ggpht.com/ytc/AKedOLQlXce5rzya6ciVUIJyEPya6hEBBp4KGw-6yf4gSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDWBBTeBHXY7KV-WJ4AaABAg,The guitar rift in Itto's trailer OST is so darn sick!!!,5 dagen geleden,dreimin,UCIOOrVODOhfF9DytKBeVgUQ,2,https://yt3.ggpht.com/Zc7f9wY7GVZr-U8MfPRTrcxqSOcs0NNbzCfQC1yikhrS1SD1ojC7i8boy62E0VmXvawx1D-D=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhEuqEYQ7Ykc6OCgJ4AaABAg,"In the game they must put a coat for the characters. By when 
We climb to spinach the characters are well warmed. 
And don't give it so much cold. 





Because when we are in the snowy mountains, and we are walking. 
The cold is accumulating more and more to the characters. And they give him cold. 
And his life bar every time, is removed, 
And when we realize the characters fall defeated by the cold. 


That is why they must be able to add, a coat for each character in the game, 
And for the traveler. They must also add a coat.",5 dagen geleden,YLE MENDOZA VERA,UCE3T0wF04iuP2e-oDtC2v0Q,1,https://yt3.ggpht.com/X88a6KLpuVR5EuxTpJs7HBIjaGxG_s3u9dXPKntBiDHCkxodLwv2HEA1UGVAKHyj4Y5i_K7mpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzvcFfaapbA2SIIu54AaABAg,"1:40 gives me extreme One Punch Man vibes, Expecially because they also have the same eng VA.",6 dagen geleden (bewerkt),Nooby Noob,UCldyn14Gj71umgfP_vQoRdg,0,https://yt3.ggpht.com/cUyMIsEszHSLm8I_KcJpjhjjN0M9TT4jU6gXa8USLzIYFx0KfJ6nrTp_0MBdeJUCpabk6qx9=s176-c-k-c0x00ffffff-no-rj,0.0
