,LINK,ENTITY,FR_TOP,SM_TOP
0,https://genshin-impact.fandom.com/wiki/Albedo,albedo,"['albedo albedo', 'cryo delusion', 'eula devil', 'dragonspine event', 'story quest']","['1154 albedo devil', '11737 albedo secretly', 'fighting 10735 doe', 'dragonspine 4305 fake', 'idiotic theories 3647']"
1,https://genshin-impact.fandom.com/wiki/Itto,itto,"['itto itto', 'albedo eula', 'voice actor', 'playable character', 'new boss']","['hot bully 11144', 'best husbando 11678', 'sexier girl 12367', 'biggest cat fish', 'favorite fictional character']"
2,https://genshin-impact.fandom.com/wiki/Mihoyo,mihoyo,"['mihoyo albedo', 'game coincidence', 'people china', 'death flags', 'story anniversary']","['story amazing battle', '10784 just dragon', 'snowman 6844 love', 'got balls 2022', 'battle su 150']"
3,https://genshin-impact.fandom.com/wiki/Bennett,bennett,"['bennett bennett', 'team albedo', 'amber eula', 'screen time', 'pyro archon']","['4575 dear diary', '1785 bennett dragon', 'actually hate dragonspine', '6870 funny knights', 'hate dragonspine seeing']"
4,https://genshin-impact.fandom.com/wiki/Dragonspine,dragonspine,"['dragonspine dragonspine', 'albedo cyro', 'new event', 'itto part', 'dragon durin']","['getting flashbacks dragonspine', '2975 thank dragonspine', 'fast 10686 dragonspine', '2675 dragonspine nightmare', 'returning dragonspine 5153']"
5,https://genshin-impact.fandom.com/wiki/Genshin,genshin,"['genshin genshin', 'game mihoyo', 'new albedo', 'quest lines', 'cryo accident']","['3909 rifthounds whopperflowers', '2018 halloween lol', 'game free anime', '336 bestfriend plays', 'anime game 2010']"
6,https://genshin-impact.fandom.com/wiki/Geo,geo,"['geo vision', 'albedo cryo', 'itto part', 'khemia life', 'lay lines']","['itto 10351 christmas', '2396 albedo better', 'albedo gives 5132', 'dad 4647 albedos', 'love geo tank']"
7,https://genshin-impact.fandom.com/wiki/Gorou,gorou,"['gorou gorou', 'itto part', 'albedo notes', 'hangout event', 'voice actor']","['best boy 6949', 'sleeping gorou 8215', 'trailer hyped gorou', 'arguing youtube comments', 'fighting huge monster']"
8,https://genshin-impact.fandom.com/wiki/Klee,klee,"['albedo klee', 'big brother', 'new dragonspine', 'alice beginning', 'solitary confinement']","['3447 hurt albedo', 'klee destroy 9246', 'albedo turning evil', 'albedo kills klee', '542 albedo artificially']"
9,https://genshin-impact.fandom.com/wiki/Cryo,cryo,"['albedo cryo', 'eula vision', 'archon mihoyo', 'albedos unknown', 'traveler multiple']","['2566 theorise albedo', 'cryo 3161 fun', 'wield 1935 albedo', 'boss fight 7034', 'goddddd 9828 evil']"
10,https://genshin-impact.fandom.com/wiki/Eula,eula,"['eula albedo', 'amber bennett', 'banner rosaria', 'star char', 'story line']","['2455 gangsta till', 'eula fighting whos', '3887 play eula', '11765 girl eula', 'fighting 10860 amber']"
11,https://genshin-impact.fandom.com/wiki/Signora,signora,"['signora albedo', 'khemia life', 'delusion cryo', 'three people', 'fatui research']","['harbinger 2911 beat', 'maybe stole albed', 'new boss 9182', 'boss 9182 swear', 'albedo lost control']"
12,https://genshin-impact.fandom.com/wiki/Hu_Tao,hu tao,"['hu tao', 'itto albedo', 'weapon banner', 'eula cryo', 'fates primos']","['12915 albedo rerun', 'mihoyololyall gotta dragonspine', 'lost wanting hu', 'absolu 9893 sorry', '7622 regret pulling']"
13,https://genshin-impact.fandom.com/wiki/Timmie,timmie,"['timmie banner', 'birds dragonspine', 'snowman brain', 'albedo friends', 'pigeons fowl']","['birds play dragonspine', 'dragonspine birds 7978', '2425 timmie brainwashed', '2925 timmie snowman', 'timmie brainwashed albedo']"
